Startup_Name,Industry,City,Investors,Round_Type,Amount_USD,Year,Amount_in_Crores
Yo Grad,Education,Gurugram,Hyderabad angels (at startup heroes event),Seed Funding,130000.0,2015,0.013
Yogurt Labs,Food,Bengaluru,"Nick adams, Kiran bhat, Family pot investments llp",Seed Funding,950000.0,2015,0.095
YourDOST,Healthcare,Bengaluru,"Phanindra sama, Aprameya radhakrishna, Aneesh reddy, Neeraj jawalkar, Sanjay anandaram, Pavan ongole, Venk krishnan",Seed Funding,3300000.0,2015,0.33
YouthKiAwaaz,Media,New Delhi,"Raghav bahl, Ritu kapur",Seed Funding,4950000.0,2015,0.495
Yumist,Food,Gurugram,"Unilazer ventures, Orios venture partners, Steven lurie",Private Equity,16500000.0,2015,1.65
Yumist,Food,Gurugram,Orios venture partner,Private Equity,8250000.0,2015,0.825
Yuvi Hospitality,Hospitality,Gurugram,Chandralekha construction pvt. ltd.,Private Equity,123750000.0,2015,12.375
Zakoopi,Personal Care,New Delhi,Uniqorn ventures,Seed Funding,2890000.0,2015,0.289
Zappfresh,Food,Gurugram,Undisclosed investors,Seed Funding,640000.0,2015,0.064
ZapStitch,Cloud Tech,Bengaluru,"Helion venture partners, Orios venture partners",Private Equity,16500000.0,2015,1.65
Zenatix,IoT,Gurugram,"Rajan anandan, Kunal bahl, Rohit bansal, Rahul khanna",Seed Funding,1330000.0,2015,0.133
Zenify,Services,Bengaluru,"Atul jalan, Shrikanth & bharath",Seed Funding,5280000.0,2015,0.528
ZenParent,Consumer Internet,Bengaluru,I2india ventures,Seed Funding,4130000.0,2015,0.413
Zeppery,Delivery,New Delhi,Suyash sharma,Seed Funding,640000.0,2015,0.064
Zify,Transportation,Hyderabad,Sean o'sullivan & others,Seed Funding,1570000.0,2015,0.157
Zilingo,E-Commerce,Bengaluru,"Sequoia india, Beenext ventures, Kunal shah & sandeep tandon",Private Equity,15680000.0,2015,1.568
Zimmber,Services,Mumbai,"Idg ventures india, Omidyar network, Sherpalo ventures,  mohandas pai",Private Equity,16500000.0,2015,1.65
Zimmber,Services,Mumbai,"Naveen tiwari, Mohit saxena, Amit gupta, Piyush shah, Manish dugar",Seed Funding,3300000.0,2015,0.33
Zinka,Hospitality,Bengaluru,"Accel partners, Flipkart",Private Equity,49500000.0,2015,4.95
Zivame,E-Commerce,Bengaluru,"Zodius technology fund, Khazanah nasional berhad",Private Equity,330000000.0,2015,33.0
Zo Rooms,Hospitality,New Delhi,"Tiger global management, Orios venture partners",Private Equity,247500000.0,2015,24.75
Zo Rooms,Travel,New Delhi,"Tiger global, Orios venture partners.",Private Equity,123750000.0,2015,12.375
Zoctr,Healthcare,Mumbai,"Sandeep parwal, Krishan gupta & others",Seed Funding,8250000.0,2015,0.825
Zomato,Food,Gurugram,"Temasek, Vy capital",Private Equity,495000000.0,2015,49.5
Zomato,Food,Gurugram,Info edge (india),Private Equity,206250000.0,2015,20.625
Zoojoo.be,E-Commerce,Bengaluru,Roundglass partners,Private Equity,8250000.0,2015,0.825
Zoomcar,Transportation,Bengaluru,"Sequoia capital, Empire angels, Ngp",Private Equity,90750000.0,2015,9.075
Zoomcar,Transportation,Bengaluru,Sequoia capital,Private Equity,41250000.0,2015,4.125
ZopHop,Logistics,Mumbai,"Amit singhal, Pk gulati & others",Seed Funding,3710000.0,2015,0.371
ZopNow,E-Commerce,Bengaluru,"Dragoneer investment, Accel partners, Qualcomm ventures, Times internet",Private Equity,82500000.0,2015,8.25
Zopper,E-Commerce,Mumbai,"Tiger global,  nirvana ventures advisors",Private Equity,165000000.0,2015,16.5
Zovi / Little App,E-Commerce,Bengaluru,"Paytm, Saif partners,  tiger global management & others",Private Equity,412500000.0,2015,41.25
ZuperMeal,Food,Mumbai,"Sanjeev kapoor,  ravi saxena & others",Private Equity,16500000.0,2015,1.65
1mg,Healthcare,Gurugram,"Maverick capital ventures, Sequoia capital, Omidyar network",Private Equity,123750000.0,2016,12.375
360Ride,Consumer Internet,Bengaluru,Undisclosed,Seed Funding,1240000.0,2016,0.124
3Dexter,Technology,New Delhi,Newbie promoters,Seed Funding,1240000.0,2016,0.124
6Degree,Networking,Mumbai,Indian angel network,Seed Funding,1650000.0,2016,0.165
Aahaa,E-Commerce,Chennai,"Yournest angel fund,",Private Equity,8250000.0,2016,0.825
Aasaanjobs,Consumer Internet,Mumbai,"Aspada advisors, Idg ventures,  inventus capital",Private Equity,41250000.0,2016,4.125
Actofit,Technology,Mumbai,Next orbit ventures fund,Private Equity,6190000.0,2016,0.619
ActOnMagic,Technology,Bengaluru,Jayabalan subramanian,Seed Funding,1030000.0,2016,0.103
Address Health,Healthcare,Bengaluru,Gray matters capital,Private Equity,12380000.0,2016,1.238
AdUrCup,Consumer Internet,New Delhi,Green house ventures (ghv),Seed Funding,830000.0,2016,0.083
Advantage Club,Consumer Internet,Gurugram,Purvi ventures & others,Seed Funding,3300000.0,2016,0.33
Advenio,Technology,Chandigarh,Kalaari capital,Seed Funding,830000.0,2016,0.083
Adytude,Consumer Internet,New Delhi,Indian angel network,Private Equity,8250000.0,2016,0.825
Affimity,Consumer Internet,Bengaluru,Undisclosed investors,Seed Funding,9900000.0,2016,0.99
Affordplan,Technology,New Delhi,"Prime venture partners, Kalaari capital",Private Equity,24750000.0,2016,2.475
Affordplan,Technology,New Delhi,Kalaari capital accelerator program,Seed Funding,4130000.0,2016,0.413
Aisle,Consumer Internet,Bengaluru,"Termsheet, Ah! ventures",Seed Funding,1530000.0,2016,0.153
Alef Mobitech,Consumer Internet,Mumbai,Tata capital innovation fund,Private Equity,41250000.0,2016,4.125
Alternacare,Consumer Internet,New Delhi,Eros labs,Seed Funding,4130000.0,2016,0.413
Altizone,Technology,Pune,"Wipro ventures,  lumis partners",Private Equity,33000000.0,2016,3.3
Amagi Media Labs,Media,Mumbai,"Emerald media, Premji invest",Private Equity,288750000.0,2016,28.875
American Vision,Consumer Internet,Pune,Undisclosed investors,Seed Funding,670000.0,2016,0.067
Anandakanda,Technology,Pune,Undisclosed investors,Seed Funding,1240000.0,2016,0.124
AppDaily,Technology,Mumbai,"Kalaari capital, Qualcomm ventures, Ru-net, Zodius technology opportunities fund,",Private Equity,16500000.0,2016,1.65
Appie,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,8250000.0,2016,0.825
AppilyEver,Consumer Internet,Hyderabad,"Varun aggarwal, Suresh venkat, Raj y",Seed Funding,3300000.0,2016,0.33
Appknox,Technology,Bengaluru,"Seedplus, Infocomm investments, Accel partners rnt associates",Private Equity,5570000.0,2016,0.557
Applicate,Software,Bengaluru,Undisclosed investors,Seed Funding,8250000.0,2016,0.825
AppLop,IT,Gurugram,Green house ventures accelerator,Seed Funding,2060000.0,2016,0.206
AppsDaily,Technology,Mumbai,"Zodius capital, Kalaari capital, Qualcomm ventures, Russian venture capital fund ru-net, Mumbai angels",Private Equity,30940000.0,2016,3.094
Arcatron,Technology,Pune,Sudhir mehta,Seed Funding,830000.0,2016,0.083
Ark Robot,Technology,Bengaluru,Qualcomm (through qprize contest),Seed Funding,2890000.0,2016,0.289
Ather Energy,EV,Bengaluru,Hero motocorp,Private Equity,222750000.0,2016,22.275
Atomberg,Households,Mumbai,Parampara capital,Private Equity,8250000.0,2016,0.825
Augrav,E-Commerce,Coimbatore,Keiretsu forum,Seed Funding,3710000.0,2016,0.371
Avanti Learning,Education,New Delhi,Michael & susan dell foundation,Private Equity,41250000.0,2016,4.125
Awesummly,Consumer Internet,Bengaluru,"Vivek bhargava, Ameera shah",Seed Funding,1210000.0,2016,0.121
B9 Beverages,Food,New Delhi,"Sequoia capital, Kunal bahl, Rohit bansal, Deepinder goyal, Ashish dhawan, Mayank singhal",Private Equity,49500000.0,2016,4.95
Baby Berry,Consumer Internet,Bengaluru,Nitin bagmane & other undisclosed investors,Seed Funding,8250000.0,2016,0.825
Babygogo,Consumer Internet,New Delhi,"Rajul garg, Daljit singh, Aditya vij, Kishore kumar, Shuchin bajaj",Seed Funding,2480000.0,2016,0.248
Badiyajobs,Consumer Internet,New Delhi,Undisclosed,Seed Funding,830000.0,2016,0.083
BankerBay,FinTech,Bengaluru,Undisclosed investors,Private Equity,16500000.0,2016,1.65
Bats on delivery,Consumer Internet,Gurugram,Devdeep singh,Seed Funding,740000.0,2016,0.074
BeaconsTalk,Technology,Mumbai,"Rajeev agrawal, Prashant gooty",Seed Funding,830000.0,2016,0.083
Beardo,E-Commerce,Ahmedabad,Venture catalysts,Seed Funding,4130000.0,2016,0.413
Betaout,Technology,Noida,"Stanford angels, Letsventure, Chennai angels, Hyderabad angels, Mumbai angels",Private Equity,12380000.0,2016,1.238
BetterPlace,Services,Bengaluru,Unitus seed fund,Seed Funding,8000000.0,2016,0.8
BHIVE,Hospitality,Bengaluru,Blume ventures,Private Equity,8250000.0,2016,0.825
Big Basket,E-Commerce,Bengaluru,Abraaj group,Private Equity,1237500000.0,2016,123.75
Big Fish Ventures,Food,New Delhi,Undisclosed investors,Private Equity,91580000.0,2016,9.158
BigStylist,Personal Care,Mumbai,Info edge (india) ltd,Private Equity,7430000.0,2016,0.743
Biryani Blues,Food,Gurugram,Carpediem capital & others,Private Equity,3040000.0,2016,0.304
Bizongo,B2B,Mumbai,"Idg ventures, Accel partners",Private Equity,24750000.0,2016,2.475
BlueStone,E-Commerce,Mumbai,"Iifl and accel partners, Kalaari capital, Ivycap ventures, Rb investments",Private Equity,247500000.0,2016,24.75
Bombay Shaving,Personal Care,New Delhi,"Noshir kaka, Subramanian ramadorai, Kiran deshpande, Pankaj gupta, Ravi nigam & others",Seed Funding,4950000.0,2016,0.495
Bombay Shirt Company,Personal Care,Mumbai,Undisclosed investor,Private Equity,8250000.0,2016,0.825
Bonhomia,Food,New Delhi,"Alok rawat, Grey orange robotics",Seed Funding,8250000.0,2016,0.825
Book My Show,Consumer Internet,Mumbai,"Stripes group, Network 18, Accel partners, Saif partners",Private Equity,676500000.0,2016,67.65
Box8,Delivery,Mumbai,"Iifl seed ventures fund, Mayfield ventures",Private Equity,61880000.0,2016,6.188
Buddy,Finance,Bengaluru,"Blume ventures,  tracxn labs",Seed Funding,4130000.0,2016,0.413
BuildTraders,E-Commerce,Bengaluru,Idein ventures,Seed Funding,1650000.0,2016,0.165
Buildzar,E-Commerce,Gurugram,Puneet dalmia,Private Equity,33000000.0,2016,3.3
BYJU'S,EdTech,Bengaluru,"Sequoia india, Sofina",Private Equity,618750000.0,2016,61.875
BYJU'S,EdTech,Bengaluru,"Chan zuckerberg initiative, Times internet ltd, Sequoia capital, Sofina, Lightspeed ventures",Private Equity,412500000.0,2016,41.25
BYJU'S,EdTech,Bengaluru,International financial corporation,Private Equity,123750000.0,2016,12.375
Campus Diaries,Consumer Internet,Bengaluru,Aarin capital,Seed Funding,1820000.0,2016,0.182
Canvera,Consumer Internet,Bengaluru,Info edge (india) ltd,Private Equity,24750000.0,2016,2.475
Capital Float,Finance,Bengaluru,"Creation investments capital management, Saif partners, Sequoia capital, Aspada ventures",Private Equity,206250000.0,2016,20.625
Capzest,Consumer Internet,Mumbai,Lion ventures,Seed Funding,1650000.0,2016,0.165
Carcrew.in,Consumer Internet,Mumbai,Tvs group,Seed Funding,4130000.0,2016,0.413
Care24,Healthcare,Mumbai,"Saif partners, India quotient",Private Equity,33000000.0,2016,3.3
Careongo,E-Commerce,New Delhi,Farooq oomerbhoy & other angel investors,Seed Funding,2480000.0,2016,0.248
CarTrade,Automotive,Mumbai,"Temasek holdings, March capital, Warburg pincus",Private Equity,1196250000.0,2016,119.625
CCAvenue,Consumer Internet,Mumbai,Nsi infinium global pvt. ltd,Private Equity,73430000.0,2016,7.343
Celerix,Technology,Bengaluru,Bitkemy ventures,Seed Funding,3300000.0,2016,0.33
Celes Care,Consumer Internet,Hyderabad,Endiya partners,Seed Funding,8250000.0,2016,0.825
Chai Thela,Food,Noida,Quarizon,Seed Funding,1800000.0,2016,0.18
ChatOnGo,Consumer Internet,Mumbai,Janak jain,Seed Funding,2480000.0,2016,0.248
CheersOye!,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,4130000.0,2016,0.413
ClearTax,FinTech,New Delhi,"Ravi adusumalli, Saif partners",Private Equity,99000000.0,2016,9.9
ClearTax,FinTech,Bengaluru,"Ff angel, Sequoia capital",Private Equity,16500000.0,2016,1.65
ClearTax,FinTech,Bengaluru,"Max levchin, Scott banister",Private Equity,10730000.0,2016,1.073
CloudCherry,Cloud Tech,Chennai,"Vertex ventures, Cisco ventures, Idg ventures",Private Equity,49500000.0,2016,4.95
Co Life,Consumer Internet,Bengaluru,Undisclosed investors,Seed Funding,8250000.0,2016,0.825
CollegeDekho,EdTech,New Delhi,Man capital,Private Equity,16500000.0,2016,1.65
CollegeDunia,Consumer Internet,New Delhi,Umang kumar,Seed Funding,3670000.0,2016,0.367
Comarete,Technology,Pune,Grex.in,Seed Funding,1650000.0,2016,0.165
Commut,Consumer Internet,Hyderabad,50k ventures,Seed Funding,1650000.0,2016,0.165
ConfirmtTkt,Travel,Bengaluru,"Krishna jhujhunwala, Dr. apoorv ranjan sharma, Anirudh damani, Anand ladsariya, Sanjay mehta & others",Seed Funding,2060000.0,2016,0.206
Connect India,Logistics,Bengaluru,Aavishkaar venture management,Private Equity,8250000.0,2016,0.825
Convegenius,Internet,Noida,Michael and susan dell foundation,Private Equity,7430000.0,2016,0.743
Corseco,Technology,New Delhi,"Ameera shah, Vivek bhargava",Seed Funding,1240000.0,2016,0.124
CreditMate,Consumer Internet,Mumbai,India quotient,Seed Funding,4130000.0,2016,0.413
CreditSeva,Consumer Internet,Hyderabad,"Pix vine capital, Infocomm development authority of singapore",Seed Funding,2970000.0,2016,0.297
CreditVidya,Technology,Mumbai,Kalaari capital,Private Equity,8250000.0,2016,0.825
CREO,Technology,Bengaluru,"Sequoia capital, Beenext ventures, India quotient, Anand chandrasekaran",Private Equity,24750000.0,2016,2.475
CroFarm,AgriTech,Gurugram,"Mukul singhal, Rohit jain, Himanshu aggrawal, Sunil goyal ashish gupta,",Private Equity,12380000.0,2016,1.238
CropIn Technologies,Technology,Bengaluru,Sophia investment aps,Private Equity,16500000.0,2016,1.65
Cuberoot,Technology,Gurugram,Undisclosed investors,Seed Funding,4130000.0,2016,0.413
CueMath,EdTech,Bengaluru,"Sequoia capital, Unitus seed fund",Private Equity,33000000.0,2016,3.3
Cult,Healthcare,Bengaluru,Curefit,Private Equity,24750000.0,2016,2.475
CupoNation,Consumer Internet,Gurugram,"Rocket internet ag, Holtzbrink ventures, New enterprise associates (nea), E.ventures, Ru-net, Deutsche telekom strategic investments (dtsi), Silicon valley bank",Private Equity,90750000.0,2016,9.075
CureFit,Healthcare,Bengaluru,"Accel partners, Idg ventures, Kalaari capital",Private Equity,123750000.0,2016,12.375
CureInstant,Consumer Internet,New Delhi,Dr. rameshwar kumar,Seed Funding,1240000.0,2016,0.124
CureJoy,Healthcare,Bengaluru,Accel partners india,Private Equity,36300000.0,2016,3.63
Cyclops,Technology,Bengaluru,Kalaari capital,Seed Funding,830000.0,2016,0.083
DailyHunt,Media,Bengaluru,"Bytedance, Arun sarin, Matrix partners, Sequoia capital india, Omidyar network,  falcon edge",Private Equity,206250000.0,2016,20.625
DailyObjects,E-Commerce,New Delhi,"Unilazer fund,  phanindra sama, Peyush bansal",Private Equity,11550000.0,2016,1.155
DawaiLelo,Healthcare,Varanasi,Undisclosed investors,Seed Funding,430000.0,2016,0.043
DayBox,Consumer Internet,New Delhi,"Ashutosh lawania, Rajul jain, Badal malick, Rishi gupta & others",Seed Funding,860000.0,2016,0.086
Deal4Loans,Consumer Internet,Noida,Franklin templeton international services pvt. ltd,Private Equity,123750000.0,2016,12.375
Dekkho,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,9900000.0,2016,0.99
Deyor Camps,Consumer Internet,Gurugram,"Nitin passi, Manickam mahalingam, Udaan angels, Rajesh arora, Arkas industries",Seed Funding,4130000.0,2016,0.413
Digio,Technology,Bengaluru,Rainmatter,Private Equity,3090000.0,2016,0.309
Dil Mil,Consumer Internet,Bengaluru,"Nelstone ventures, Transmedia capital, Maiden lane ventures, Csc upshot & angel investors",Private Equity,22280000.0,2016,2.228
Diro Labs,Consumer Internet,New Delhi,Info edge (india) ltd,Private Equity,3710000.0,2016,0.371
Diro Labs,Consumer Internet,New Delhi,Info edge (india),Seed Funding,1210000.0,2016,0.121
DocsApp,Healthcare,Bengaluru,"Rebright partners, Anand rajaraman, Venky harinarayan",Private Equity,9900000.0,2016,0.99
Doctor Insta,Consumer Internet,Gurugram,Roundglass partners,Private Equity,16500000.0,2016,1.65
DoctorInsta,Consumer Internet,Gurugram,Roundglass partners,Private Equity,8250000.0,2016,0.825
Don't Scratch Your Head,Technology,Ahmedabad,"Gaurav singhvi, Zaffiro ventures",Seed Funding,2060000.0,2016,0.206
DriversCart,Consumer Internet,Chennai,Ah! ventures,Seed Funding,3710000.0,2016,0.371
Drivify,Transportation,Mumbai,"Jitendra gupta, Pankaj tripathi",Seed Funding,410000.0,2016,0.041
DrivoJoy,Transportation,Bengaluru,"Indian angel network, Tracxn labs & others",Seed Funding,4950000.0,2016,0.495
Dropkaffe,Food,Bengaluru,"Growthstory, Apurva salapuria, Hitesh oberoi, Sidharth pansari, Nirupa shankar",Seed Funding,4540000.0,2016,0.454
Druva,Technology,Pune,"Sequoia india, Edbi, Blue cloud ventures, Hercules capital",Private Equity,420750000.0,2016,42.075
Dunzo,Delivery,Bengaluru,"Aspada investment advisors, Blume ventures.",Seed Funding,5360000.0,2016,0.536
EasyPolicy,Consumer Internet,Noida,"Unilazer ventures,",Private Equity,82500000.0,2016,8.25
EasyPolicy,Consumer Internet,Noida,Unilazer ventures,Private Equity,18150000.0,2016,1.815
EasyRoads,Consumer Internet,Mumbai,"Rohan angrish, Hrishi oberoi, Rahul mehta, Kapil hetamsaria, Pranav dedhia",Seed Funding,1650000.0,2016,0.165
EduAce Services,Education,Lucknow,Momagic technologies,Private Equity,8250000.0,2016,0.825
EduBridge,Consumer Internet,Mumbai,"Insitor impact asia fund, Acumen fund",Private Equity,20630000.0,2016,2.063
EduPristine,Education,Mumbai,"Kaizen management advisors, Devry inc",Private Equity,82500000.0,2016,8.25
eKincare,Healthcare,Hyderabad,"Bitchemy ventures, Maheshwari investments pvt ltd, Anshoo gaur, Rama krishna reddy, Sandeep seerapu",Private Equity,2720000.0,2016,0.272
ElasticRun,Transportation,Pune,"Kalaari capital, Norwest venture partners",Private Equity,16500000.0,2016,1.65
Endless Robotics,Technology,Hyderabad,"Devidas desai, Vipul gautam, Singapore angel network",Seed Funding,830000.0,2016,0.083
enKast,Technology,Bengaluru,Ivy league alumni angel network,Private Equity,16500000.0,2016,1.65
Entropika,Technology,Bengaluru,"Dileep bhatt, Milind chaudhary",Seed Funding,1650000.0,2016,0.165
EPayLater,Technology,Mumbai,3 undisclosed hnis,Seed Funding,16500000.0,2016,1.65
EPS,Technology,Mumbai,Apis partners,Private Equity,288750000.0,2016,28.875
eQuickies,E-Commerce,Ahmedabad,Lothal angel ventures,Seed Funding,2460000.0,2016,0.246
eShakti,E-Commerce,Chennai,"Infina finance pvt. ltd, Uday kotak",Private Equity,11140000.0,2016,1.114
ExtraCarbon,Consumer Internet,Gurugram,Brand capital,Seed Funding,1860000.0,2016,0.186
FabAlley,E-Commerce,Noida,"India quotient, Fao ventures, Indian angel network, Tushar singh, Ranjan sharma",Private Equity,16500000.0,2016,1.65
FabHotels,Hospitality,Gurugram,"Accel partners, Rb investments",Private Equity,66000000.0,2016,6.6
Faircent,FinTech,Gurugram,Brand capital,Private Equity,12380000.0,2016,1.238
FarEye,Logistics,New Delhi,Saif partners,Private Equity,28880000.0,2016,2.888
First Eat,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,830000.0,2016,0.083
Fisdom,Finance,Bengaluru,"Saama capital, Raghunandan g, Aprameya radhakrishna",Private Equity,9080000.0,2016,0.908
Fisdom,Finance,Bengaluru,Rob chandra,Seed Funding,4130000.0,2016,0.413
Fitpass,Consumer Internet,New Delhi,Mumbai angels,Seed Funding,8250000.0,2016,0.825
Fitso,Consumer Internet,Gurugram,"Varun khurana, Samar singla, Vinay bansal,",Seed Funding,1650000.0,2016,0.165
FixNix,Consumer Internet,Chennai,Jay vijayan,Seed Funding,4130000.0,2016,0.413
FlexiLoans,FinTech,Mumbai,"Sanjay nayar, Vikram sud, Anil jaggia, Narayan seshadri",Private Equity,123750000.0,2016,12.375
FlickBay,Consumer Internet,Mumbai,Paul roy,Seed Funding,7340000.0,2016,0.734
FlipClass,Consumer Internet,Bengaluru,"S chand and co pvt ltd, Blume ventures",Private Equity,8250000.0,2016,0.825
Flixy Games,Technology,Bengaluru,Rebright partners,Seed Funding,3510000.0,2016,0.351
Flocareer,Consumer Internet,Bengaluru,"Balasubramanian krishnamurthy, Sidhartha hazarika & others",Seed Funding,1240000.0,2016,0.124
Flyrobe,E-Commerce,Mumbai,"Idg ventures, Sequoia capital, Gree ventures",Private Equity,43730000.0,2016,4.373
Flyrobe,E-Commerce,Mumbai,"Sequoia capital, Rohit bansal, Kunal bahl, Sandeep tandon, Kunal shah, Zishaan hayath,  abhishek jain",Seed Funding,14030000.0,2016,1.403
FR8,Technology,Chennai,Omnivore partners,Private Equity,8010000.0,2016,0.801
Fractal Analytics,Technology,Mumbai,Khazanah nasional berhad,Private Equity,825000000.0,2016,82.5
Freedom Smart Labs,Technology,New Delhi,Kapil goel,Seed Funding,1200000.0,2016,0.12
Fresh Food Concepts,Food,New Delhi,"Siddhartha gupta, Ashvin chadha",Seed Funding,16500000.0,2016,1.65
FreshDesk,Technology,Chennai,"Sequoia capital india, Accel partners",Private Equity,453750000.0,2016,45.375
FreshMenu,Consumer Internet,Bengaluru,"Zodius technology fund, Lightspeed venture partners",Private Equity,140250000.0,2016,14.025
FreshMenu,Consumer Internet,Bengaluru,"Zodius capital, Lightspeed venture partners",Private Equity,136130000.0,2016,13.613
Ftcash,Consumer Internet,Mumbai,Ivycap ventures,Seed Funding,1240000.0,2016,0.124
Funcart,E-Commerce,New Delhi,Undisclosed hnis,Seed Funding,580000.0,2016,0.058
Furlenco,E-Commerce,Bengaluru,"Lightbox ventures, Axis capital & others",Private Equity,247500000.0,2016,24.75
Furlenco,E-Commerce,Bengaluru,Lightbox ventures and others,Private Equity,41250000.0,2016,4.125
Gadgetwood,Electronics,New Delhi,Carpediem capital,Private Equity,49500000.0,2016,4.95
GameZop,Entertainment,Gurugram,"Kwan entertainment & marketing solutions, Powerhouse ventures & others",Seed Funding,2890000.0,2016,0.289
Gamooz,Technology,Gurugram,Multiple investors through ten minute million competition,Seed Funding,190000.0,2016,0.019
Gapoon,Consumer Internet,Bengaluru,"Chandrashekar tallapragada, Pankaj kapoor",Seed Funding,1490000.0,2016,0.149
gear6,Consumer Internet,Bengaluru,Ninestarter,Seed Funding,4130000.0,2016,0.413
Genextstudents,Consumer Internet,Mumbai,1crowd (through crowdfunding),Seed Funding,1720000.0,2016,0.172
Get My Parking,Consumer Internet,New Delhi,The chennai angels,Seed Funding,3100000.0,2016,0.31
Giftxoxo,E-Commerce,Bengaluru,Mahindra holidays & resorts india ltd,Private Equity,3710000.0,2016,0.371
Gingercrush,E-Commerce,Vadodara,"Saha fund, Tv mohandas pai, Zia mody, Mumbai angels, Ananda kallugadde, Rakesh desai, Rakesh malhotra",Private Equity,8250000.0,2016,0.825
Glam Studios,Consumer Internet,Noida,"Pradeep mirani, Aqeel ahmed, Anand ladsariya, Nitin agarwal",Seed Funding,2480000.0,2016,0.248
Goalwise,Consumer Internet,Bengaluru,Undisclosed hnis,Seed Funding,8250000.0,2016,0.825
GoGo Truck,Consumer Internet,Chennai,Undisclosed investor,Seed Funding,620000.0,2016,0.062
GolfLAN,Sports,New Delhi,"Yournest angel fund, Ison",Private Equity,8250000.0,2016,0.825
Gomalon,Consumer Internet,Bengaluru,Undisclosed investor,Seed Funding,830000.0,2016,0.083
GoMechanic,Automotive,Gurugram,Venture catalysts,Seed Funding,2060000.0,2016,0.206
GoPigeon,Consumer Internet,Bengaluru,Nexus venture partners,Private Equity,12380000.0,2016,1.238
goSporto,Consumer Internet,New Delhi,Naveen gupta,Seed Funding,250000.0,2016,0.025
GoYaNo,Consumer Internet,Gurugram,Mukesh kumar gupta,Seed Funding,410000.0,2016,0.041
GoZefo,E-Commerce,Bengaluru,"Helion venture partners, Beenext",Private Equity,8660000.0,2016,0.866
Grab,Delivery,Mumbai,Aramex ventures llc,Private Equity,16500000.0,2016,1.65
GramCover,Finance,New Delhi,Omnivore capital,Seed Funding,8250000.0,2016,0.825
Grey Campus,Consumer Internet,Hyderabad,Sarath sura,Seed Funding,8250000.0,2016,0.825
GreytHR,Technology,Bengaluru,"New enterprise associates (nea), Blume ventures",Private Equity,42900000.0,2016,4.29
Guarented,E-Commerce,Bengaluru,Kalaari capital,Seed Funding,4130000.0,2016,0.413
Gyaanzone,Education,Mumbai,Gbim technologies pvt ltd,Seed Funding,370000.0,2016,0.037
HandyTrain,Technology,Goa,"Silver range investments, Lumina datamatics, Shun yoshida & others",Private Equity,8250000.0,2016,0.825
HappilyUnmarried,E-Commerce,New Delhi,Info edge (india) ltd,Private Equity,6110000.0,2016,0.611
Happy2Refer,Consumer Internet,Mumbai,"Equity crest, Vinners, Sparknext",Seed Funding,2060000.0,2016,0.206
HashTaag,Technology,Bengaluru,Undisclosed investors,Seed Funding,8250000.0,2016,0.825
Heads Up For Tails,E-Commerce,New Delhi,Undisclosed investors,Seed Funding,8250000.0,2016,0.825
HealthEnablr,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,6600000.0,2016,0.66
Healthians,Healthcare,Gurugram,Beenext,Private Equity,24750000.0,2016,2.475
HealthifyMe,Healthcare,Bengaluru,"Idg ventures india, Inventus capital, Blume ventures",Private Equity,49500000.0,2016,4.95
HealthifyMe,Healthcare,Bengaluru,Nb ventures,Private Equity,8250000.0,2016,0.825
HealthKart,E-Commerce,Gurugram,"Sequoia capital india, Omidyar network, Kae capital",Private Equity,99000000.0,2016,9.9
HealthKumbh,Consumer Internet,Ahmedabad,Undisclosed investor,Seed Funding,600000.0,2016,0.06
Hello Curry,Food,Hyderabad,Sashi reddi & other unnamed investors,Private Equity,12380000.0,2016,1.238
Hello Tax,Consumer Internet,New Delhi,Sanjeev sinha,Seed Funding,2430000.0,2016,0.243
HelpShift,Technology,Pune,"Microsoft ventures, Salesforce ventures",Private Equity,189750000.0,2016,18.975
Hike,Consumer Internet,New Delhi,"Tencent holdings, Foxconn technology group, Tiger global, Softbank group, Bharti enterprises",Private Equity,1443750000.0,2016,144.375
Hippily,E-Commerce,Mumbai,"Dr. sridhar ramaswamy, Rakesh mathur",Seed Funding,2060000.0,2016,0.206
HolaChef,Delivery,Mumbai,"Kalaari capital, India quotient",Private Equity,16090000.0,2016,1.609
Hoppingo,Consumer Internet,New Delhi,Vcommission,Seed Funding,730000.0,2016,0.073
Hopscotch,E-Commerce,Mumbai,Eduardo saverin,Private Equity,107250000.0,2016,10.725
Horntell,Consumer Internet,Gurugram,"Bharanidharan viswanathan, Sanjiv mittal, Shobhit shukla, Rahul agarwal",Seed Funding,1240000.0,2016,0.124
Housing,Consumer Internet,Mumbai,Softbank corp,Private Equity,123750000.0,2016,12.375
Housing,Consumer Internet,Mumbai,Softbank group,Private Equity,41250000.0,2016,4.125
Hungama,Consumer Internet,Mumbai,Xiaomi inc,Private Equity,206250000.0,2016,20.625
i2i Funding,Finance,Noida,Undisclosed investors,Seed Funding,2480000.0,2016,0.248
iAugmentor Labs,Technology,Gurugram,Rajasthan angel investor network & others,Seed Funding,1230000.0,2016,0.123
